PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40073432,Long term latency of highly mutated cells in normal mouse skin is reversed by exposure to tumor promoters and chronic tissue damage.,2025,,,N/A
40073421,Significant Tumor Inhibition of Trimethyl-152-[L-aspartyl]pheophorbide a in Tumor Photodynamic Therapy‡.,2025,,,N/A
40073404,Ectopic dopamine agonist-resistant macroprolactinoma to the clivus masquerading as a chordoma - A case report.,2025,,,N/A
40073395,"Efficacy of a Supervised Exercise Program on Pain, Physical Function, and Quality of Life in Patients With Breast Cancer: Protocol for a Randomized Clinical Trial.",2025,,,N/A
40073374,Efficacy of Combined CD38 and PD1 Inhibition with Isatuximab and Cemiplimab for Relapsed/Refractory NK/T-Cell Lymphoma.,2025,,,N/A
40073369,Large-scale dependency and drug screens characterize the therapeutic vulnerabilities of Multiple Myeloma with 1q.,2025,,,N/A
40073368,Worldwide Innovative Network (WIN) Consortium in Personalized Cancer Medicine: Bringing next-generation precision oncology to patients.,2025,"El-Deiry, Berchem, Bar, Joshua, Lussier, Kurzrock","Worldwide Innovative Network (WIN) Association - WIN Consortium, Chevilly-Larue, France., Centre Hospitalier du Luxembourg, Luxembourg., Jusidman Cancer Center, Sheba Medical Center, Ramat Gan, Israel., The Kinghorn Cancer Centre, St Vincent's Hospital, Darlinghurst, Australia., Worldwide Innovative Network (WIN) Association - WIN Consortium, Chevilly-Larue, France., Worldwide Innovative Network (WIN) Association - WIN Consortium, Chevilly-Larue, France.",N/A
40073295,"{'i': 'In Vivo', '#text': 'Molecular Engineering of a SICTERS Small Molecule with Superior  Raman Imaging and Photothermal Performance.'}",2025,,,N/A
40073280,"Literature review of occurrence, effectiveness, safety, and hospitalization burden of blood transfusion in the management of warm autoimmune hemolytic anemia.",2025,,,N/A
40073276,"CAD manipulates tumor intrinsic DHO/UBE4B/NF-κB pathway and fuels macrophage cross-talk, promoting hepatocellular carcinoma metastasis.",2025,,,N/A
